,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
525,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2222222222222222,0.0,0.794,1.0,1.0,1,0.5238444444444444
614,0.6666666666666666,0.6666666666666666,0.0,0.0,0.07936507936507936,0.8019999999999999,0.0632,1.0,1.0,1,0.5238215873015872
379,1.0,0.6666666666666666,0.0,0.6666666666666666,0.19047619047619047,0.0,0.808,0.0,1.0,1,0.5236571428571428
497,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.8400000000000001,1.0,1.0,1,0.5228888888888888
902,1.0,1.0,0.6666666666666666,0.6666666666666666,0.31746031746031744,0.0,0.73,0.0,0.0,1,0.5222063492063492
8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.20634920634920634,0.0,0.771,1.0,1.0,1,0.5207507936507936
820,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.8157,1.0,1.0,1,0.5204588888888889
512,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3968253968253968,0.0,0.0,1.0,1.0,1,0.5198412698412698
465,1.0,1.0,1.0,1.0,0.38095238095238093,0.0,0.0,0.0,0.0,1,0.5190476190476191
307,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.36507936507936506,0.0,0.0,1.0,1.0,1,0.5182539682539682
4,0.6666666666666666,0.6666666666666666,0.0,0.0,0.06349206349206349,0.0,0.8099999999999999,1.0,1.0,1,0.5175079365079365
225,1.0,1.0,0.6666666666666666,0.6666666666666666,0.19047619047619047,0.74,0.0,0.0,0.0,1,0.5168571428571429
119,0.6666666666666666,0.6666666666666666,0.0,0.0,0.07936507936507936,0.79,0.0,1.0,1.0,1,0.5163015873015873
1074,0.6666666666666666,0.6666666666666666,0.0,0.0,0.25396825396825395,0.0,0.7,1.0,1.0,1,0.516031746031746
981,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3492063492063492,0.0,0.65,1.0,1.0,1,0.5157936507936508
539,0.3333333333333333,0.3333333333333333,0.0,0.0,0.38095238095238093,0.5006,0.8,1.0,1.0,1,0.5157742857142857
257,0.6666666666666666,0.6666666666666666,0.0,0.0,0.12698412698412698,0.0,0.76,1.0,1.0,1,0.5156825396825396
376,1.0,0.6666666666666666,1.0,0.6666666666666666,0.14285714285714285,0.0,0.75,0.0,0.0,1,0.5154761904761905
227,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.30158730158730157,0.0,0.0,1.0,1.0,1,0.515079365079365
992,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3968253968253968,0.866,0.751,0.0,0.0,1,0.5148746031746032
61,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.19047619047619047,0.0,0.72,1.0,1.0,1,0.5148571428571428
